gtin,honest_sign_name
04670332746677,"БРЮКИ ""CULTURE PANTS MELANGE"" СЕРЫЕ S"
04670332746707,"БРЮКИ ""CULTURE PANTS MELANGE"" СЕРЫЕ XL"
04670332747094,"БРЮКИ ""CULTURE PANTS MELANGE"" СЕРЫЕ XS"
04670332744338,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЕРНЫЕ L"
04670332743508,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЁРНЫЕ L"
04670332744321,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЕРНЫЕ M"
04670332743492,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЁРНЫЕ M"
04670332744314,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЕРНЫЕ S"
04670332743485,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЁРНЫЕ S"
04670332744345,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЕРНЫЕ XL"
04670332743515,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЁРНЫЕ XL"
04670332746868,"БРЮКИ ""DIAMOND PANTS BLACK"" ЧЕРНЫЕ XS"
04670332747001,"БРЮКИ ""DIAMOND PANTS MELANGE"" СЕРЫЕ L"
04670332746998,"БРЮКИ ""DIAMOND PANTS MELANGE"" СЕРЫЕ M"
04670332746981,"БРЮКИ ""DIAMOND PANTS MELANGE"" СЕРЫЕ S"
04670332747018,"БРЮКИ ""DIAMOND PANTS MELANGE"" СЕРЫЕ XL"
04670332746974,"БРЮКИ ""DIAMOND PANTS MELANGE"" СЕРЫЕ XS"
04670332747223,"БРЮКИ ""DIAMOND PANTS PINK"" РОЗОВЫЕ L"
04670332747216,"БРЮКИ ""DIAMOND PANTS PINK"" РОЗОВЫЕ M"
04670332747209,"БРЮКИ ""DIAMOND PANTS PINK"" РОЗОВЫЕ S"
04670332747230,"БРЮКИ ""DIAMOND PANTS PINK"" РОЗОВЫЕ XL"
04670332747193,"БРЮКИ ""DIAMOND PANTS PINK"" РОЗОВЫЕ XS"
04610634460376,"ДЖИНСЫ ""DIAMOND JEANS BLACK"" ЧЕРНЫЕ 2XS"
04610634460413,"ДЖИНСЫ ""DIAMOND JEANS BLACK"" ЧЕРНЫЕ L"
04610634460406,"ДЖИНСЫ ""DIAMOND JEANS BLACK"" ЧЕРНЫЕ M"
04610634460390,"ДЖИНСЫ ""DIAMOND JEANS BLACK"" ЧЕРНЫЕ S"
04610634460383,"ДЖИНСЫ ""DIAMOND JEANS BLACK"" ЧЕРНЫЕ XS"
04610634460420,"ДЖИНСЫ ""DIAMOND JEANS SKY BLUE"" ГОЛУБЫЕ 2XS"
04610634460468,"ДЖИНСЫ ""DIAMOND JEANS SKY BLUE"" ГОЛУБЫЕ L"
04610634460451,"ДЖИНСЫ ""DIAMOND JEANS SKY BLUE"" ГОЛУБЫЕ M"
04610634460444,"ДЖИНСЫ ""DIAMOND JEANS SKY BLUE"" ГОЛУБЫЕ S"
04610634460437,"ДЖИНСЫ ""DIAMOND JEANS SKY BLUE"" ГОЛУБЫЕ XS"
04670332743546,"ДЖИНСЫ ""DIAMOND JEANS"" ЧЁРНЫЕ L"
04670332743539,"ДЖИНСЫ ""DIAMOND JEANS"" ЧЁРНЫЕ M"
04670332743522,"ДЖИНСЫ ""DIAMOND JEANS"" ЧЁРНЫЕ S"
04670332743553,"ДЖИНСЫ ""DIAMOND JEANS"" ЧЁРНЫЕ XL"
04670332743461,"ДЖИНСЫ ""DIAMOND JEANS"" ЧЁРНЫЕ XS"
04670332747131,"ДЖИНСЫ ""MONOGRAM JEANS SKY BLUE"" ГОЛУБЫЕ 2XL"
04670332747148,"ДЖИНСЫ ""MONOGRAM JEANS SKY BLUE"" ГОЛУБЫЕ 3XL"
04670332745830,"ДЖИНСЫ ""MONOGRAM JEANS SKY BLUE"" ГОЛУБЫЕ L"
04670332745823,"ДЖИНСЫ ""MONOGRAM JEANS SKY BLUE"" ГОЛУБЫЕ M"
04670332745816,"ДЖИНСЫ ""MONOGRAM JEANS SKY BLUE"" ГОЛУБЫЕ S"
04670332745847,"ДЖИНСЫ ""MONOGRAM JEANS SKY BLUE"" ГОЛУБЫЕ XL"
04670332745809,"ДЖИНСЫ ""MONOGRAM JEANS SKY BLUE"" ГОЛУБЫЕ XS"
04670332747117,"ДЖИНСЫ ""MONOGRAM JEANS STONE BLACK"" ЧЁРНЫЕ 2XL"
04670332747124,"ДЖИНСЫ ""MONOGRAM JEANS STONE BLACK"" ЧЁРНЫЕ 3XL"
04670332745786,"ДЖИНСЫ ""MONOGRAM JEANS STONE BLACK"" ЧЁРНЫЕ L"
04670332745779,"ДЖИНСЫ ""MONOGRAM JEANS STONE BLACK"" ЧЁРНЫЕ M"
04670332745762,"ДЖИНСЫ ""MONOGRAM JEANS STONE BLACK"" ЧЁРНЫЕ S"
